"","formula","EMSL_class","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"1","C7H7O4N1S1","Lignin","unsaturated/lignin","unsaturated/lignin",0.3333,0.8571,1,0.57,-1,5,-0.1429
"2","C8H11O5N1","Lignin","unsaturated/lignin","unsaturated/lignin",0.1111,0.25,1.38,0.62,-2,4,-0.25
"3","C9H15O4N1","Protein","aliphatic","aliphatic+N",0,-0.4444,1.67,0.44,-2,3,-0.2222
"4","C10H19O3N1","Protein","aliphatic","aliphatic+N",-0.0667,-1,1.9,0.3,-2,2,-0.2
"5","C7H6O5S1","Tannin","unsaturated/lignin","unsaturated/lignin",0.4286,0.8571,0.86,0.71,-1,5,-0.1429
"6","C6H7O2N2S1P1","Lignin","unsaturated/lignin","unsaturated/lignin",0,0.8333,1.17,0.33,-1,5,-0.1667
"7","C8H10O6","Tannin","unsaturated/lignin","unsaturated/lignin",0.2,0.25,1.25,0.75,-2,4,-0.25
"8","C12H10O3","Lignin","aromatic","aromatic",0.619,-0.3333,0.83,0.25,5,8,0.4167
"9","C9H14O5","AminoSugar","aliphatic","aliphatic",0.0769,-0.4444,1.56,0.56,-2,3,-0.2222
"10","C8H14O4N2","Protein","aliphatic","aliphatic+N",-0.25,0,1.75,0.5,-3,3,-0.375
"11","C13H14O2","Lignin","unsaturated/lignin","unsaturated/lignin",0.5,-0.7692,1.08,0.15,5,7,0.3846
"12","C10H18O4","Protein","aliphatic","aliphatic",0,-1,1.8,0.4,-2,2,-0.2
"13","C9H18O3N2","Protein","aliphatic","lipid",-0.2727,-0.6667,2,0.33,-3,2,-0.3333
"14","C14H18O1","UnsatHC","unsaturated/lignin","unsaturated/lignin",0.4074,-1.1429,1.29,0.07,5,6,0.3571
"15","C11H22O3","Lipid","aliphatic","lipid",-0.0526,-1.4545,2,0.27,-2,1,-0.1818
"16","C5H1O6N1S1","Other","condensed aromatic","condensed aromatic",Inf,3.2,0.2,1.2,-2,6,-0.4
"17","C7H9O6N1","Tannin","unsaturated/lignin","unsaturated/lignin",0,0.8571,1.29,0.86,-3,4,-0.4286
"18","C8H13O5N1","AminoSugar","aliphatic","aliphatic+N",-0.1111,0,1.62,0.62,-3,3,-0.375
"19","C9H17O4N1","Protein","aliphatic","aliphatic+N",-0.1667,-0.6667,1.89,0.44,-3,2,-0.3333
"20","C11H8O4","ConHC","condensed aromatic","condensed aromatic",0.6667,0,0.73,0.36,4,8,0.3636
"21","C8H12O6","Carb","aliphatic","aliphatic",0,0,1.5,0.75,-3,3,-0.375
"22","C7H12O5N2","Carb","aliphatic","aliphatic+N",-0.6,0.5714,1.71,0.71,-4,3,-0.5714
"23","C12H12O3","Lignin","aromatic","aromatic",0.5238,-0.5,1,0.25,4,7,0.3333
"24","C9H16O5","AminoSugar","aliphatic","aliphatic",-0.0769,-0.6667,1.78,0.56,-3,2,-0.3333
"25","C8H16O4N2","Protein","aliphatic","lipid",-0.5,-0.25,2,0.5,-4,2,-0.5
"26","C13H16O2","Lignin","unsaturated/lignin","unsaturated/lignin",0.4167,-0.9231,1.23,0.15,4,6,0.3077
"27","C10H20O4","Protein","aliphatic","lipid",-0.125,-1.2,2,0.4,-3,1,-0.3
"28","C14H20O1","UnsatHC","unsaturated/lignin","unsaturated/lignin",0.3333,-1.2857,1.43,0.07,4,5,0.2857
"29","C9H19O4N1","Protein","aliphatic","lipid",-0.3333,-0.8889,2.11,0.44,-4,1,-0.4444
"30","C10H6O5","ConHC","condensed aromatic","condensed aromatic",0.7333,0.4,0.6,0.5,3,8,0.3
"31","C7H10O7","Tannin","unsaturated/lignin","unsaturated/lignin",-0.1429,0.5714,1.43,1,-4,3,-0.5714
"32","C11H10O4","Lignin","aromatic","aromatic",0.5556,-0.1818,0.91,0.36,3,7,0.2727
"33","C8H14O6","Carb","aliphatic","aliphatic",-0.2,-0.25,1.75,0.75,-4,2,-0.5
"34","C12H14O3","Lignin","unsaturated/lignin","unsaturated/lignin",0.4286,-0.6667,1.17,0.25,3,6,0.25
"35","C9H18O5","AminoSugar","aliphatic","lipid",-0.2308,-0.8889,2,0.56,-4,1,-0.4444
"36","C13H18O2","Lignin","unsaturated/lignin","unsaturated/lignin",0.3333,-1.0769,1.38,0.15,3,5,0.2308
"37","C14H22O1","Lipid","aliphatic","aliphatic",0.2593,-1.4286,1.57,0.07,3,4,0.2143
"38","C10H9O4N1","Lignin","aromatic","aromatic",0.5714,0.2,0.9,0.4,2,7,0.2
"39","C11H13O3N1","Lignin","unsaturated/lignin","unsaturated/lignin",0.4118,-0.3636,1.18,0.27,2,6,0.1818
"40","C9H4O6","ConHC","condensed aromatic","condensed aromatic",0.8333,0.8889,0.44,0.67,2,8,0.2222
"41","C10H8O3S1","Lignin","aromatic","aromatic",0.6,0,0.8,0.3,3,7,0.3
"42","C10H8O5","Lignin","aromatic","aromatic",0.6,0.2,0.8,0.5,2,7,0.2
"43","C7H12O7","Carb","aliphatic","aliphatic",-0.4286,0.2857,1.71,1,-5,2,-0.7143
"44","C11H12O4","Lignin","unsaturated/lignin","unsaturated/lignin",0.4444,-0.3636,1.09,0.36,2,6,0.1818
"45","C8H16O4S1","Protein","aliphatic","lipid",-0.4,-0.75,2,0.5,-4,1,-0.5
