"formula","Site","Treatment","Suction"
"C10H19O3N1","DWP","time zero","50 kPa"
"C10H19O3N1","DWP","drought","1.5 kPa"
"C10H19O3N1","DWP","drought","50 kPa"
"C9H14O5","CPCRW","drought","50 kPa"
"C9H14O5","DWP","drought","50 kPa"
"C10H18O4","CPCRW","drought","50 kPa"
"C10H18O4","SR","drought","50 kPa"
"C10H18O4","SR","field moist","1.5 kPa"
"C10H18O4","CPCRW","flood","50 kPa"
"C10H18O4","DWP","time zero","50 kPa"
"C10H18O4","CPCRW","flood","1.5 kPa"
"C10H18O4","CPCRW","drought","1.5 kPa"
"C10H18O4","DWP","field moist","1.5 kPa"
"C10H18O4","DWP","drought","1.5 kPa"
"C10H18O4","SR","time zero","1.5 kPa"
"C10H18O4","DWP","flood","50 kPa"
"C10H18O4","DWP","field moist","50 kPa"
"C10H18O4","CPCRW","field moist","1.5 kPa"
"C10H18O4","SR","drought","1.5 kPa"
"C10H18O4","DWP","drought","50 kPa"
"C10H18O4","SR","field moist","50 kPa"
"C10H18O4","SR","flood","50 kPa"
"C10H18O4","SR","flood","1.5 kPa"
"C11H8O4","CPCRW","flood","50 kPa"
"C13H16O2","CPCRW","field moist","50 kPa"
"C13H16O2","CPCRW","flood","50 kPa"
"C10H20O4","CPCRW","flood","50 kPa"
"C7H10O7","DWP","time zero","50 kPa"
"C11H10O4","CPCRW","field moist","50 kPa"
"C11H10O4","CPCRW","flood","50 kPa"
"C12H14O3","CPCRW","field moist","50 kPa"
"C12H14O3","CPCRW","drought","50 kPa"
"C12H14O3","CPCRW","flood","50 kPa"
"C12H14O3","CPCRW","field moist","1.5 kPa"
"C12H14O3","CPCRW","time zero","50 kPa"
"C13H18O2","CPCRW","field moist","50 kPa"
"C13H18O2","CPCRW","flood","50 kPa"
"C14H22O1","CPCRW","field moist","50 kPa"
"C14H22O1","SR","drought","50 kPa"
"C14H22O1","SR","field moist","1.5 kPa"
"C14H22O1","CPCRW","flood","50 kPa"
"C14H22O1","DWP","time zero","50 kPa"
"C14H22O1","CPCRW","flood","1.5 kPa"
"C14H22O1","CPCRW","field moist","1.5 kPa"
"C14H22O1","DWP","field moist","1.5 kPa"
"C14H22O1","SR","time zero","1.5 kPa"
"C14H22O1","DWP","flood","50 kPa"
"C14H22O1","DWP","field moist","50 kPa"
"C14H22O1","SR","time zero","50 kPa"
"C14H22O1","SR","drought","1.5 kPa"
"C14H22O1","DWP","drought","50 kPa"
"C14H22O1","SR","field moist","50 kPa"
"C14H22O1","CPCRW","time zero","1.5 kPa"
"C14H22O1","CPCRW","time zero","50 kPa"
"C14H22O1","SR","flood","50 kPa"
"C14H22O1","SR","flood","1.5 kPa"
"C14H22O1","DWP","flood","1.5 kPa"
"C10H8O3S1","SR","drought","50 kPa"
"C10H8O3S1","SR","field moist","1.5 kPa"
"C10H8O3S1","SR","field moist","50 kPa"
"C10H8O3S1","SR","flood","50 kPa"
"C10H8O3S1","SR","flood","1.5 kPa"
"C10H8O5","CPCRW","field moist","50 kPa"
"C10H8O5","CPCRW","drought","50 kPa"
"C10H8O5","CPCRW","flood","50 kPa"
"C10H8O5","CPCRW","field moist","1.5 kPa"
"C10H8O5","CPCRW","time zero","50 kPa"
"C7H12O7","CPCRW","drought","50 kPa"
"C7H12O7","DWP","time zero","50 kPa"
"C7H12O7","CPCRW","drought","1.5 kPa"
"C11H12O4","CPCRW","field moist","50 kPa"
"C11H12O4","CPCRW","drought","50 kPa"
"C11H12O4","CPCRW","flood","50 kPa"
"C11H12O4","CPCRW","field moist","1.5 kPa"
"C11H12O4","CPCRW","time zero","1.5 kPa"
"C11H12O4","CPCRW","time zero","50 kPa"
"C12H16O3","CPCRW","field moist","50 kPa"
"C12H16O3","CPCRW","drought","50 kPa"
"C12H16O3","CPCRW","flood","50 kPa"
"C12H16O3","CPCRW","time zero","1.5 kPa"
"C12H16O3","CPCRW","time zero","50 kPa"
"C13H20O2","SR","drought","50 kPa"
"C13H20O2","DWP","time zero","50 kPa"
"C13H20O2","SR","flood","50 kPa"
"C12H20O1N2","CPCRW","field moist","50 kPa"
"C12H20O1N2","SR","field moist","1.5 kPa"
"C12H20O1N2","CPCRW","flood","1.5 kPa"
"C12H20O1N2","SR","time zero","1.5 kPa"
"C12H20O1N2","SR","time zero","50 kPa"
"C12H20O1N2","SR","field moist","50 kPa"
"C12H20O1N2","SR","flood","50 kPa"
"C12H20O1N2","SR","flood","1.5 kPa"
"C10H10O5","CPCRW","field moist","50 kPa"
"C10H10O5","CPCRW","drought","50 kPa"
