,tension ,treatment,CH4_O,NH_CH2,CH2,O,CH3COO-,PO43-,SO42-,NO3-,NH4+,H2S,S2O32-,glucose_C6H12O6,glucose_C6H12O6,pentose_C5H8O4,glcnac_C8H13N1O5,neugc_C11H17N1O9,Alanine_C3H5NO,Arginine_C6H12N4O,Asparagine_C4H6N2O2,Aspartic_Acid_C4H5NO3,Cysteine_C3H5NOS,Cystine_C6H10N2O3S2,Glutamic_Acid_C5H7NO3,Glutamine_C5H8N2O2,Glycine_C2H3NO,Histidine_C6H7N3O,Isoleucine_C6H11NO,Leucine_C6H11NO,Lysine_C6H12N2O,Methionine_C5H9NOS,Phenylalanine_C9H9NO,Proline_C5H7NO,Serine_C3H5NO2,Threonine_C4H7NO2,Tryptophan_C11H10N2O,Tyrosine_C9H9NO2,Valine_C5H9NO,acetotacetate_(-H2O)_C4H4O2,acetone_(-H)_C3H5O,adenylate_(-H2O)_C10H12N5O6P,biotinyl_(-H)_C10H15N2O3S,biotinyl_(-H2O)_C10H14N2O2S,carbamoyl_P_transfer_(-H2PO4)_CH2ON,co-enzyme_A_(-H)_C21H34N7O16P3S,co-enzyme_A_(-H2O)_C21H33N7O15P3S,glutathione_(-H2O)_C10H15N3O5S,isoprene_addition_(-H)_C5H7,malonyl_group_(-H2O)_C3H2O3,palmitoylation_(-H2O)_C16H30O,pyridoxal_phosphate_(-H2O)_C8H8NO5P,urea_addition_(-H)_CH3N2O,adenine_(-H)_C5H4N5,adenosine_(-H2O)_C10H11N5O3,Adenosine_5_diphosphate_(-H2O)_C10H13N5O9P2,Adenosine_5_monophosphate_(-H2O)_C10H12N5O6P,cytidine_5_diphosphate_(-H2O)_C9H13N3O10P2,cytidine_5_monophsophate_(-H2O)_C9H12N3O7P,cytosine_(-H)_C4H4N3O,Guanosine5_diphosphate_(-H2O)_C10H13N5O10P2,Guanosine_5_monophosphate_(-H2O)_C10H12N5O7P,guanine_(-H)_C5H4N5O,guanosine_(-H2O)_C10H11N5O4,deoxythymidine_5_diphosphate_(-H2O)_C10H14N2O10P2,thymidine_(-H2O)_C10H12N2O4,thymine_(-H)_C5H5N2O2,thymidine_5_monophosphate_(-H2O)_C10H13N2O7P,uridine_5_diphosphate_(-H2O)_C9H12N2O11P2,uridine_5_monophosphate_(-H2O)_C9H11N2O8P,uracil_(-H)_C4H3N2O2,uridine_(-H2O)_C9H10N2O5,acetylation_(-H)_C2H3O2,acetylation_(-H2O)_C2H2O,C2H2_C2H2,Carboxylation_CO2,CHO2_CHO2,condensation/dehydration_H2O,diphosphate_H3O6P2,ethyl addition_(-H2O)_C2H4,Formic Acid_(-H2O)_CO,glyoxylate_(-H2O)_C2O2,hydrogenation_dehydrogenation_H2,hydroxylation_(-H)_O,Inorganic_Phosphate_P,TRANSAMINATION,Catechol_O2
1,15 mb,pre,4.165079365,0.952380952,7.365079365,5.676190476,0.101587302,0.012698413,0.507936508,0.114285714,0.038095238,1.346031746,0.038095238,0,0.279365079,0.749206349,0.012698413,0,0.711111111,0.025396825,0,0.431746032,0.050793651,0.025396825,0.393650794,0,0.863492063,0.012698413,0.355555556,0.355555556,0.012698413,0.025396825,0.050793651,0.520634921,0.647619048,0.533333333,0,0.076190476,0.419047619,2.120634921,0.076190476,0,0.038095238,0.012698413,0.076190476,0,0,0.025396825,0.063492063,1.93015873,0.012698413,0,0.012698413,0.025396825,0,0,0,0,0,0.063492063,0,0,0.038095238,0,0.012698413,0.012698413,0.012698413,0.012698413,0,0,0.038095238,0.012698413,0.101587302,4.634920635,5.142857143,3.961904762,0.063492063,5.726984127,0.050793651,5.434920635,4.901587302,2.742857143,5.307936508,5.73968254,0.088888889,0.787301587,4.025396825
2,150 mb,pre,16.23931624,0.854700855,8.547008547,3.418803419,0,0,0.427350427,0,0,1.709401709,0.427350427,0,0.427350427,0.427350427,0,0,0,0,0,0.427350427,0,0.427350427,0,0,0.854700855,0,0,0,0,0,0,0,0,0,0,0,0,0.427350427,0,0.427350427,0,0,0,0,0,0,0,0,0,0,0.427350427,0.427350427,0,0,0.427350427,0,0,1.282051282,0,0,0.427350427,0,0,0.854700855,0,0,0,0,0,0,0,0,0.427350427,0.427350427,0,1.709401709,0.427350427,0.427350427,0,0,18.37606838,3.418803419,0,0,0
3,15 mb,pre,4.526748971,0.308641975,9.259259259,6.121399177,0.154320988,0.051440329,0.360082305,0,0.308641975,1.748971193,0.051440329,0.051440329,0.308641975,0.925925926,0,0,0.205761317,0.051440329,0.051440329,0.154320988,0.154320988,0,0.102880658,0,0.257201646,0,0.565843621,0.565843621,0,0.051440329,0,0.102880658,0.051440329,0.102880658,0,0.102880658,0.154320988,1.748971193,0.102880658,0,0,0,0,0,0,0,0,1.440329218,0,0,0.102880658,0.051440329,0.051440329,0,0,0,0,0.051440329,0,0,0.051440329,0,0,0.051440329,0.051440329,0,0,0,0.051440329,0,0.154320988,3.806584362,4.62962963,3.343621399,0.102880658,5.092592593,0.051440329,6.430041152,4.5781893,2.674897119,5.91563786,6.121399177,0.051440329,0.154320988,4.166666667
4,150 mb,pre,3.837719298,0.328947368,12.39035088,6.359649123,0.219298246,0.109649123,0.328947368,0.219298246,0,5.043859649,0.219298246,0,0,0,0,0,0,0,0,0.219298246,0,0,0.109649123,0.109649123,0,0,0,0,0,0,0,0,0.109649123,0,0,0.109649123,0,1.754385965,0.109649123,0.109649123,0,0,0.109649123,0,0,0,0,0.548245614,0,0.109649123,0,0.219298246,0,0,0.109649123,0.109649123,0,0.109649123,0,0,0,0,0.109649123,0,0,0.109649123,0,0,0.219298246,0.109649123,0.219298246,3.179824561,6.359649123,3.618421053,0,3.947368421,0,6.030701754,2.631578947,1.864035088,5.263157895,6.469298246,0,0,3.399122807
5,15 mb,pre,3.707742639,0.436205016,16.46673937,5.670665213,0.218102508,0.109051254,0.218102508,0,0.109051254,3.489640131,0.327153762,0.109051254,0,0,0,0,0.109051254,0,0,0,0,0,0.109051254,0,0.109051254,0.109051254,0,0,0,0,0,0.218102508,0.109051254,0,0,0,0.218102508,0.436205016,0.327153762,0,0,0,0.327153762,0,0,0,0.327153762,0.654307525,0,0.109051254,0,0.218102508,0,0,0,0,0.109051254,0,0,0,0,0,0,0,0.218102508,0,0,0,0,0.109051254,0.218102508,3.162486369,3.925845147,3.162486369,0.54525627,4.252998909,0,8.287895311,2.726281352,1.308615049,5.997818975,5.670665213,0,0,2.39912759
6,150 mb,pre,1.990049751,0,19.90049751,7.462686567,0.497512438,0,0.497512438,0.497512438,0,2.487562189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497512438,0.497512438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497512438,0,0.497512438,1.990049751,3.482587065,0.995024876,0,2.487562189,0,9.452736318,2.985074627,0.995024876,7.462686567,7.462686567,0.497512438,0,0.995024876
7,15 mb,pre,4.659498208,0.286738351,17.92114695,8.243727599,0.573476703,0,0.143369176,0.143369176,0,1.863799283,0.143369176,0.071684588,0.071684588,0,0,0,0.286738351,0.143369176,0.358422939,0.143369176,0,0,0.071684588,0.215053763,0,0.143369176,0,0,0.143369176,0.215053763,0.143369176,0,0.071684588,0,0,0,0.071684588,0.071684588,0.430107527,0,0,0.071684588,0.286738351,0,0.071684588,0,0.215053763,0.143369176,0,0,0,0.071684588,0,0,0,0,0.071684588,0.286738351,0.071684588,0,0.071684588,0,0,0,0,0,0.071684588,0,0,0,0.573476703,1.863799283,3.799283154,1.146953405,0.573476703,3.799283154,0,7.455197133,2.580645161,0.573476703,7.741935484,8.53046595,0,0.143369176,2.078853047
8,150 mb,pre,10.84070796,0.221238938,13.71681416,5.973451327,0.221238938,0.442477876,0.221238938,0,0.221238938,0.442477876,0.442477876,0,0,0,0,0.221238938,0.221238938,0,0,0,0.884955752,0,0,0,0,0.663716814,0,0,0.221238938,0,0,0,0.221238938,0,0,0,0.221238938,0.442477876,0,0,0.221238938,0,0,0,0.221238938,0.221238938,0.442477876,0.442477876,0,0,0.663716814,0,0,0,0,0,0,0.663716814,0,0,0.221238938,0,0.221238938,0,0.221238938,0,0.221238938,0,0,0,0.221238938,0.442477876,1.10619469,0.221238938,0.221238938,2.654867257,0,1.327433628,1.10619469,0.442477876,15.26548673,6.415929204,0,0.221238938,0.884955752
9,15 mb,pre,17.0263789,0.71942446,4.316546763,0.479616307,0.239808153,0,0,0,0.239808153,0,0.239808153,0.239808153,0.239808153,0.239808153,0,0,0,0.239808153,0,0,0.239808153,0,0,0.479616307,0.239808153,0.71942446,0.479616307,0.479616307,0,0,0,0.479616307,0.71942446,0,0,0,0,1.918465228,0,0,0.239808153,0,0,0,0,0,0,0.959232614,0,0,0,0.239808153,0,0,0,0,0,0.479616307,0,0,0.239808153,0,0,0,0,0,0,0,0.239808153,0.239808153,0.239808153,0,0,0.479616307,0.239808153,0.479616307,0,0.479616307,0,1.438848921,23.50119904,0.71942446,0.239808153,0.239808153,0.239808153
10,150 mb,pre,4.278074866,0,15.15151515,8.556149733,0.178253119,0,0,0,0,1.960784314,0,0,0,0.178253119,0.178253119,0,0,0,0.178253119,0,0,0,0,0,0,0.178253119,0.178253119,0.178253119,0,0,0,0,0.178253119,0.178253119,0,0,0.178253119,0.356506239,0.178253119,0,0,0,0,0,0,0,0.178253119,0.178253119,0,0,0,0.178253119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178253119,0.178253119,3.03030303,3.921568627,2.495543672,0.178253119,3.565062389,0,7.308377897,4.278074866,0.713012478,7.486631016,8.556149733,0.356506239,0,3.03030303
