"","formula","EMSL_class","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"1","C8H2O5S1",NA,"condensed aromatic","condensed aromatic",1,1.25,0.25,0.62,2,8,0.25
"2","C10H10O3S1",NA,"unsaturated/lignin","unsaturated/lignin",0.4667,-0.2,1,0.3,2,6,0.2
"3","C6H13O3N1S1P1",NA,"aliphatic","lipid",-2,-0.3333,2.17,0.5,-4.5,1.5,-0.75
"4","C10H12O3S1",NA,"unsaturated/lignin","unsaturated/lignin",0.3333,-0.4,1.2,0.3,1,5,0.1
"5","C6H15O3N1S1P1",NA,"aliphatic","lipid",-2.6667,-0.6667,2.5,0.5,-5.5,0.5,-0.9167
"6","C12H10N2P1",NA,"condensed aromatic","condensed aromatic",0.7222,-0.3333,0.83,0,6.5,9.5,0.5417
"7","C8H13N3P2",NA,"aliphatic","aliphatic+N",0,-0.5,1.62,0,0,5,0
"8","C9H10O4S1",NA,"unsaturated/lignin","unsaturated/lignin",0.3333,0,1.11,0.44,0,5,0
"9","C5H13O4N1S1P1",NA,"aliphatic","lipid",-Inf,0,2.6,0.8,-6.5,0.5,-1.3
"10","C6H10O1N6S1",NA,"condensed aromatic","condensed aromatic",1.6667,2,1.67,0.17,-3,5,-0.5
"11","C10H14O3S1",NA,"unsaturated/lignin","unsaturated/lignin",0.2,-0.6,1.4,0.3,0,4,0
"12","C9H22N6",NA,"aliphatic","lipid",-1.3333,-0.4444,2.44,0,-4,2,-0.4444
"13","C8H8O5S1",NA,"unsaturated/lignin","unsaturated/lignin",0.3333,0.5,1,0.62,-1,5,-0.125
"14","C7H3N7S1",NA,"unsaturated/lignin","unsaturated/lignin",-2,2.8571,0.43,0,2,10,0.2857
"15","C9H15O1N1S2",NA,"aliphatic","aliphatic+N",-0.0909,-0.6667,1.67,0.11,-1,3,-0.1111
"16","C9H7O2N5",NA,"condensed aromatic","condensed aromatic",1,1.3333,0.78,0.22,2,9,0.2222
"17","C13H14O1P1",NA,"aromatic","aromatic",0.5217,-0.9231,1.08,0.08,5.5,7.5,0.4231
"18","C6H2O3S3",NA,"condensed aromatic","condensed aromatic",1,1.6667,0.33,0.5,0,6,0
"19","C5H6N4S3",NA,"condensed aromatic","condensed aromatic",1,2.4,1.2,0,-2,5,-0.4
"20","C9H17O5N1",NA,"aliphatic","aliphatic+N",-0.2727,-0.4444,1.89,0.56,-4,2,-0.4444
"21","C8H21N5S1",NA,"aliphatic","lipid",-2.5,-0.5,2.62,0,-5,1,-0.625
"22","C8H3O3N3P1",NA,"condensed aromatic","condensed aromatic",1.6,1.5,0.38,0.38,2.5,9.5,0.3125
"23","C9H7O2N3P1",NA,"condensed aromatic","condensed aromatic",0.875,0.6667,0.78,0.22,2.5,8.5,0.2778
"24","C15H8S1",NA,"condensed aromatic","condensed aromatic",0.7857,-0.4,0.53,0,11,12,0.7333
"25","C15H24O1",NA,"aliphatic","aliphatic",0.2414,-1.4667,1.6,0.07,3,4,0.2
"26","C9H4O1S1P2",NA,"condensed aromatic","condensed aromatic",1,0,0.44,0.11,5,9,0.5556
"27","C12H14O4",NA,"unsaturated/lignin","unsaturated/lignin",0.4,-0.5,1.17,0.33,2,6,0.1667
"28","C9H18O6",NA,"aliphatic","lipid",-0.3333,-0.6667,2,0.67,-5,1,-0.5556
"29","C9H14O1N6",NA,"aliphatic","aliphatic+N",-0.2,0.6667,1.56,0.11,-1,6,-0.1111
"30","C13H18O3",NA,"unsaturated/lignin","unsaturated/lignin",0.3043,-0.9231,1.38,0.23,2,5,0.1538
"31","C14H22O2",NA,"aliphatic","aliphatic",0.2308,-1.2857,1.57,0.14,2,4,0.1429
"32","C12H17O1N1S1",NA,"unsaturated/lignin","unsaturated/lignin",0.2632,-0.8333,1.42,0.08,2,5,0.1667
"33","C7H12O6S1",NA,"aliphatic","aliphatic",-0.6667,0.2857,1.71,0.86,-5,2,-0.7143
"34","C11H12O3S1",NA,"unsaturated/lignin","unsaturated/lignin",0.4118,-0.3636,1.09,0.27,2,6,0.1818
"35","C13H24O1N2",NA,"aliphatic","aliphatic+N",0.0476,-1.2308,1.85,0.08,0,3,0
"36","C4H11O2N5S2",NA,"condensed aromatic","condensed aromatic",1.5,3,2.75,0.5,-7,2,-1.75
"37","C11H15N1S2",NA,"unsaturated/lignin","unsaturated/lignin",0.25,-0.7273,1.36,0,2,5,0.1818
"38","C7H15O5N1S1",NA,"aliphatic","lipid",-1.4,0,2.14,0.71,-6,1,-0.8571
"39","C11H14O3S1",NA,"unsaturated/lignin","unsaturated/lignin",0.2941,-0.5455,1.27,0.27,1,5,0.0909
"40","C7H17O3N1S1P1",NA,"aliphatic","lipid",-1.6,-0.8571,2.43,0.43,-5.5,0.5,-0.7857
"41","C8H10O4N4",NA,"unsaturated/lignin","unsaturated/lignin",0,1.25,1.25,0.5,-2,6,-0.25
"42","C11H14O5",NA,"unsaturated/lignin","unsaturated/lignin",0.2941,-0.3636,1.27,0.45,0,5,0
"43","C12H18O4",NA,"aliphatic","aliphatic",0.2,-0.8333,1.5,0.33,0,4,0
"44","C12H22O2N2",NA,"aliphatic","aliphatic+N",0,-1,1.83,0.17,-1,3,-0.0833
"45","C14H26O2",NA,"aliphatic","aliphatic",0.0769,-1.5714,1.86,0.14,0,2,0
"46","C14H12O1P1",NA,"aromatic","aromatic",0.64,-0.7143,0.86,0.07,7.5,9.5,0.5357
"47","C12H9O2N3",NA,"condensed aromatic","condensed aromatic",0.75,0.3333,0.75,0.17,5,10,0.4167
"48","C13H12N2P1",NA,"aromatic","aromatic",0.65,-0.4615,0.92,0,6.5,9.5,0.5
"49","C9H15N3P2",NA,"aliphatic","aliphatic+N",0,-0.6667,1.67,0,0,5,0
"50","C9H10O1S1P2",NA,"unsaturated/lignin","unsaturated/lignin",0.4545,-0.6667,1.11,0.11,2,6,0.2222
"51","C6H8O2N6S1",NA,"condensed aromatic","condensed aromatic",1,2.6667,1.33,0.33,-3,6,-0.5
"52","C10H12O4S1",NA,"unsaturated/lignin","unsaturated/lignin",0.2857,-0.2,1.2,0.4,0,5,0
"53","C13H12N2S1",NA,"aromatic","aromatic",0.6,-0.3077,0.92,0,6,9,0.4615
"54","C10H8O1N6",NA,"condensed aromatic","condensed aromatic",1,1.2,0.8,0.1,3,10,0.3
"55","C10H24N6",NA,"aliphatic","lipid",-1,-0.6,2.4,0,-4,2,-0.4
"56","C14H28O2",NA,"aliphatic","lipid",0,-1.7143,2,0.14,-1,1,-0.0714
"57","C8H6S4",NA,"unsaturated/lignin","unsaturated/lignin",0.5,0.25,0.75,0,2,6,0.25
"58","C5H2O1N4S3",NA,"unsaturated/lignin","unsaturated/lignin",0.2,3.6,0.4,0.2,-1,7,-0.2
"59","C6H5O1N3S2P1",NA,"unsaturated/lignin","unsaturated/lignin",0,1.6667,0.83,0.17,-0.5,6.5,-0.0833
"60","C13H10S2",NA,"aromatic","aromatic",0.6364,-0.4615,0.77,0,7,9,0.5385
"61","C9H10O5S1",NA,"unsaturated/lignin","unsaturated/lignin",0.2727,0.2222,1.11,0.56,-1,5,-0.1111
