"formula","site","depth","Suction_kPa"
"C10H12O3S1","PT","0-30",50
"C10H12O3S1","GS","60-90",3
"C10H12O3S1","PT","210-240",1.5
"C10H12O3S1","GS","30-60",1.5
"C10H12O3S1","DMT","30-60",50
"C6H15O3N1S1P1","PT","120-150",50
"C12H10N2P1","GS","60-90",3
"C8H13N3P2","PT","0-30",50
"C9H10O4S1","GS","60-90",3
"C10H14O3S1","PT","0-30",50
"C8H8O5S1","GS","30-60",50
"C9H15O1N1S2","DMT","0-30",15
"C5H6N4S3","PT","0-30",50
"C5H6N4S3","PT","60-90",15
"C5H6N4S3","DMT","30-60",50
"C8H21N5S1","GS","30-60",50
"C15H24O1","GS","0-30",1.5
"C15H24O1","PT","0-30",50
"C15H24O1","PT","30-60",50
"C15H24O1","PT","60-90",50
"C15H24O1","GS","60-90",3
"C15H24O1","PT","210-240",1.5
"C15H24O1","PT","60-90",15
"C15H24O1","PT","180-210",3
"C15H24O1","DMT","30-60",50
"C15H24O1","PT","30-60",1.5
"C15H24O1","PT","90-120",1.5
"C13H18O3","PT","210-240",1.5
"C7H12O6S1","PT","210-240",1.5
"C13H24O1N2","GS","0-30",1.5
"C13H24O1N2","PT","120-150",1.5
"C13H24O1N2","GS","60-90",1.5
"C13H24O1N2","PT","180-210",1.5
"C13H24O1N2","PT","60-90",1.5
"C13H24O1N2","DMT","30-60",3
"C13H24O1N2","PT","30-60",1.5
"C13H24O1N2","DMT","0-30",1.5
"C13H24O1N2","PT","210-240",1.5
"C13H24O1N2","PT","60-90",15
"C13H24O1N2","DMT","30-60",50
"C13H24O1N2","DMT","30-60",1.5
"C7H15O5N1S1","PT","120-150",15
"C7H15O5N1S1","PT","60-90",15
"C7H15O5N1S1","DMT","0-30",15
"C7H15O5N1S1","DMT","0-30",3
"C11H14O3S1","GS","60-90",3
"C11H14O3S1","PT","210-240",1.5
"C11H14O3S1","GS","30-60",1.5
"C11H14O3S1","DMT","30-60",50
"C12H22O2N2","PT","210-240",1.5
"C9H15N3P2","GS","60-90",3
"C9H15N3P2","DMT","30-60",50
"C10H12O4S1","GS","60-90",3
"C10H12O4S1","PT","60-90",15
"C10H12O4S1","DMT","30-60",50
"C14H28O2","GS","30-60",3
"C14H28O2","PT","60-90",1.5
"C14H28O2","DMT","30-60",3
"C14H28O2","PT","120-150",50
"C14H28O2","PT","60-90",50
"C14H28O2","PT","210-240",1.5
"C14H28O2","DMT","30-60",1.5
"C14H28O2","PT","150-180",50
"C14H28O2","PT","90-120",1.5
"C5H2O1N4S3","PT","60-90",3
"C5H2O1N4S3","PT","90-120",3
"C5H2O1N4S3","DMT","30-60",3
"C5H2O1N4S3","PT","120-150",15
"C5H2O1N4S3","PT","0-30",50
"C5H2O1N4S3","PT","60-90",15
"C5H2O1N4S3","PT","90-120",50
"C5H2O1N4S3","PT","120-150",3
"C5H2O1N4S3","DMT","30-60",50
"C5H2O1N4S3","PT","90-120",1.5
"C9H10O5S1","GS","0-30",3
"C9H10O5S1","PT","180-210",3
"C9H10O5S1","PT","0-30",50
"C9H10O5S1","DMT","30-60",1.5
"C9H10O5S1","PT","0-30",15
"C9H10O5S1","DMT","0-30",15
"C9H10O5S1","GS","30-60",50
"C9H10O5S1","PT","180-210",50
"C9H10O5S1","DMT","0-30",3
"C9H10O5S1","DMT","30-60",15
"C12H22O4","PT","0-30",50
"C12H22O4","DMT","30-60",50
"C11H8O2N2P1","GS","60-90",3
"C9H20O1N4P1","DMT","60-90",1.5
"C15H22O2","PT","180-210",1.5
"C15H22O2","PT","210-240",1.5
"C15H22O2","PT","90-120",50
"C15H22O2","DMT","30-60",50
"C8H3O4N3P1","PT","60-90",15
"C14H20O3","PT","0-30",50
"C14H20O3","DMT","30-60",50
"C12H17O2N1S1","PT","0-30",50
"C10H8O3S2","DMT","0-30",15
"C10H8O3S2","DMT","0-30",3
"C12H16O3S1","PT","0-30",3
"C12H16O3S1","PT","0-30",50
"C12H16O3S1","GS","60-90",3
"C12H16O3S1","GS","30-60",1.5
"C12H16O3S1","DMT","30-60",50
"C13H20O4","DMT","30-60",3
"C13H20O4","DMT","30-60",50
"C11H15O3N1S1","PT","0-30",50
"C11H15O3N1S1","GS","60-90",3
"C11H15O3N1S1","PT","180-210",3
"C11H15O3N1S1","DMT","30-60",50
"C11H15O3N1S1","PT","210-240",50
"C11H15O3N1S1","GS","30-60",50
"C11H15O3N1S1","PT","30-60",15
"C10H10O5S1","GS","0-30",1.5
"C10H10O5S1","PT","120-150",1.5
"C10H10O5S1","PT","90-120",15
"C10H10O5S1","PT","60-90",3
"C10H10O5S1","PT","0-30",3
"C10H10O5S1","PT","30-60",50
"C10H10O5S1","PT","30-60",1.5
"C10H10O5S1","PT","120-150",15
"C10H10O5S1","PT","0-30",50
"C10H10O5S1","PT","60-90",50
"C10H10O5S1","GS","60-90",3
"C10H10O5S1","PT","60-90",15
"C10H10O5S1","GS","0-30",3
"C10H10O5S1","PT","180-210",3
