"formula","presence","PoreWater_ID","site","depth","Suction_kPa","n"
"C10H12O3S1",1,"26D","PT","0-30",50,2
"C10H12O3S1",1,"50B","GS","60-90",3,2
"C10H12O3S1",1,"33A","PT","210-240",1.5,1
"C10H12O3S1",1,"19D","PT","0-30",50,2
"C10H12O3S1",1,"46A","GS","30-60",1.5,2
"C10H12O3S1",1,"47B","GS","60-90",3,2
"C10H12O3S1",1,"2D","DMT","30-60",50,3
"C10H12O3S1",1,"8D","DMT","30-60",50,3
"C10H12O3S1",1,"52A","GS","30-60",1.5,2
"C10H12O3S1",1,"10D","DMT","30-60",50,3
"C6H15O3N1S1P1",1,"30D","PT","120-150",50,3
"C6H15O3N1S1P1",1,"15D","PT","120-150",50,3
"C6H15O3N1S1P1",1,"23D","PT","120-150",50,3
"C12H10N2P1",1,"50B","GS","60-90",3,2
"C12H10N2P1",1,"47B","GS","60-90",3,2
"C8H13N3P2",1,"26D","PT","0-30",50,2
"C8H13N3P2",1,"19D","PT","0-30",50,2
"C9H10O4S1",1,"50B","GS","60-90",3,2
"C9H10O4S1",1,"47B","GS","60-90",3,2
"C10H14O3S1",1,"19D","PT","0-30",50,2
"C10H14O3S1",1,"34D","PT","0-30",50,2
"C8H8O5S1",1,"49D","GS","30-60",50,1
"C9H15O1N1S2",1,"1C","DMT","0-30",15,1
"C5H6N4S3",1,"26D","PT","0-30",50,2
"C5H6N4S3",1,"28C","PT","60-90",15,2
"C5H6N4S3",1,"21C","PT","60-90",15,2
"C5H6N4S3",1,"19D","PT","0-30",50,2
"C5H6N4S3",1,"2D","DMT","30-60",50,2
"C5H6N4S3",1,"8D","DMT","30-60",50,2
"C8H21N5S1",1,"49D","GS","30-60",50,1
"C15H24O1",1,"45A","GS","0-30",1.5,3
"C15H24O1",1,"26D","PT","0-30",50,2
"C15H24O1",1,"27D","PT","30-60",50,3
"C15H24O1",1,"28D","PT","60-90",50,2
"C15H24O1",1,"50B","GS","60-90",3,2
"C15H24O1",1,"33A","PT","210-240",1.5,1
"C15H24O1",1,"28C","PT","60-90",15,2
"C15H24O1",1,"25B","PT","180-210",3,2
"C15H24O1",1,"21C","PT","60-90",15,2
"C15H24O1",1,"19D","PT","0-30",50,2
"C15H24O1",1,"47B","GS","60-90",3,2
"C15H24O1",1,"8D","DMT","30-60",50,2
"C15H24O1",1,"36D","PT","60-90",50,2
"C15H24O1",1,"35D","PT","30-60",50,3
"C15H24O1",1,"45A2","GS","0-30",1.5,3
"C15H24O1",1,"32B","PT","180-210",3,2
"C15H24O1",1,"35A","PT","30-60",1.5,3
"C15H24O1",1,"20D","PT","30-60",50,3
"C15H24O1",1,"20A","PT","30-60",1.5,3
"C15H24O1",1,"10D","DMT","30-60",50,2
"C15H24O1",1,"51A","GS","0-30",1.5,3
"C15H24O1",1,"37A","PT","90-120",1.5,2
"C15H24O1",1,"27A","PT","30-60",1.5,3
"C15H24O1",1,"29A","PT","90-120",1.5,2
"C13H18O3",1,"33A","PT","210-240",1.5,1
"C7H12O6S1",1,"33A","PT","210-240",1.5,1
"C13H24O1N2",1,"45A","GS","0-30",1.5,3
"C13H24O1N2",1,"15A","PT","120-150",1.5,3
"C13H24O1N2",1,"44A","GS","60-90",1.5,3
"C13H24O1N2",1,"17A","PT","180-210",1.5,2
"C13H24O1N2",1,"13A","PT","60-90",1.5,3
